addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
"서울특별시 구로구 구로동로 135, 남부빌딩 2층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20180528,,0,0,0,1,0,8309,110005,구로구,110000,서울,02-857-9535,126.8836781,37.4906462,구로성모정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQyIyQzIyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz
"서울특별시 구로구 디지털로 227, 새안빌딩 3층 (가리봉동)",31,의원,0,0,0,0,0,0,0,0,1,가리봉동,20030106,,0,0,0,1,0,8388,110005,구로구,110000,서울,02-839-8008,126.8909287,37.480474,구로세란의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQ0NjE0ODEjNjEjJDEjJDQjJDgz
"서울특별시 구로구 경인로 176, 4층 (오류동, 시티월드)",31,의원,0,0,0,0,0,0,0,0,1,오류동,20200917,,0,0,0,1,0,8271,110005,구로구,110000,서울,02-2615-8321,126.8410607,37.4943847,구로센트럴이비인후과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz
"서울특별시 구로구 구로동로 153, 4층 (구로동)",31,의원,0,0,0,0,0,0,0,0,2,구로동,20251013,,0,0,0,2,0,8309,110005,구로구,110000,서울,02-851-7575,126.8834274,37.4923721,구로쏙내과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz
"서울특별시 구로구 구로동로 115, 청보빌딩 4층 (구로동)",31,의원,0,0,0,0,0,0,0,0,3,구로동,20160705,,0,0,0,3,0,8316,110005,구로구,110000,서울,02-864-1175,126.8842671,37.4887723,구로에이스정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz
"서울특별시 구로구 경인로 373, 문화골든타워 2층 (고척동)",31,의원,0,0,0,0,0,0,0,0,1,고척동,20070621,,0,0,0,1,0,8226,110005,구로구,110000,서울,02-2611-3200,126.8619052,37.4969239,구로연세소아과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ3OSQyNjEyMjIjNjEjJDEjJDgjJDgz
"서울특별시 구로구 구로중앙로 16, 2,3층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,19940620,,1,0,0,0,0,8304,110005,구로구,110000,서울,02-858-7776,126.8920599,37.4918439,구로연세의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQyIyQxIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz
"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 401호 (개봉동)",31,의원,0,0,0,0,0,0,0,0,1,개봉동,20130513,,0,0,0,1,0,8328,110005,구로구,110000,서울,02-2616-1675,126.8582496,37.4940221,구로우태하피부과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz
"서울특별시 구로구 구로동로 128, (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,19940407,,0,0,0,1,0,8311,110005,구로구,110000,서울,02-865-0664,126.8843986,37.4900965,구로의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz
"서울특별시 구로구 가마산로 211, 외5필지동 4,5,6층 (구로동)",31,의원,0,0,0,0,0,0,0,0,3,구로동,19910618,,0,0,0,3,0,8285,110005,구로구,110000,서울,02-852-3375,126.8845105,37.4935825,구로정형외과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjE0ODEjODEjJDEjJDIjJDgz
