요양기관명,시도명,시군구명,요양기관종별,표시과목,주소,중환자실 병상수 소계,성인 중환자실 병상수,소아 중환자실 병상수,신생아 중환자실 병상수,격리병실 병상수
인제대학교부산백병원,부산광역시,부산진구,상급종합병원,해당사항없음,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",101,66,0,35,20
학교법인)동의병원,부산광역시,부산진구,종합병원,해당사항없음,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",23,23,0,0,2
의료법인 온그룹의료재단 온병원,부산광역시,부산진구,종합병원,해당사항없음,"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",35,35,0,0,6
사단법인청색회 연지그린요양병원,부산광역시,부산진구,요양병원,해당사항없음,부산광역시 부산진구 새싹로 186 (연지동),0,0,0,0,2
의료법인청원의료재단 수요양병원,부산광역시,부산진구,요양병원,해당사항없음,"부산광역시 부산진구 동평로 401, 지하2~지상10층 (양정동)",0,0,0,0,1
의료법인 사랑나눔의료재단 에보스요양병원,부산광역시,부산진구,요양병원,해당사항없음,부산광역시 부산진구 동천로107번길 8 (부전동),0,0,0,0,18
의료법인 온그룹의료재단 온요양병원,부산광역시,부산진구,요양병원,해당사항없음,"부산광역시 부산진구 가야대로 721, 신관 8층 일부, 9~14층 전부, 15층 일부, 16층 전부, 본관 12층 일부 (당감동)",0,0,0,0,1
대동병원,부산광역시,동래구,종합병원,해당사항없음,부산광역시 동래구 충렬대로 187 (명륜동),22,22,0,0,9
의료법인 광혜의료재단 광혜병원,부산광역시,동래구,종합병원,해당사항없음,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",9,9,0,0,1
동래봉생병원,부산광역시,동래구,종합병원,해당사항없음,부산광역시 동래구 안연로109번길 27 (안락동),20,20,0,0,2
빌리브세웅병원,부산광역시,동래구,종합병원,해당사항없음,부산광역시 동래구 충렬대로 455 (안락동),10,10,0,0,0
새봄병원,부산광역시,동래구,병원,일반의,"부산광역시 동래구 충렬대로 152, 3층일부,7~10층 (온천동)",0,0,0,0,3
거인병원,부산광역시,동래구,병원,일반의,"부산광역시 동래구 여고로 12, 거인병원 지하1,지상2~10층 (사직동)",0,0,0,0,1
의료법인 은빛의료재단 참사랑요양병원,부산광역시,동래구,요양병원,해당사항없음,"부산광역시 동래구 충렬대로 258, 참사랑요양병원 1-3일부,6-11층 (낙민동)",0,0,0,0,1
의료법인 강혜의료재단 온천사랑의요양병원,부산광역시,동래구,요양병원,해당사항없음,부산광역시 동래구 금강공원로 40 (온천동),0,0,0,0,1
세인요양병원,부산광역시,동래구,요양병원,해당사항없음,부산광역시 동래구 여고로 5(사직동),0,0,0,0,1
