목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
양천구,신정3동,11464,0,0,0,0,1,27,0,1,10,29,10,39,2,2.0,18.0,5.0,23.0,0,2,67.0,33.5
양천구,신정4동,2785,1,0,0,0,0,39,0,1,23,41,23,64,2,1.0,15.0,1.0,16.0,0,2,55.0,27.5
양천구,신정6동,6270,0,1,0,0,0,3,0,0,2,3,3,6,1,0.0,0.0,0.0,0.0,1,0,8.0,8.0
양천구,신정7동,3774,0,0,0,0,0,15,0,0,9,15,9,24,0,0.0,0.0,0.0,0.0,0,0,0.0,
영등포구,당산1동,2647,1,1,0,0,0,18,0,0,8,19,9,28,2,1.0,14.0,0.0,14.0,1,1,26.0,13.0
영등포구,당산2동,1460,0,0,0,0,0,56,0,0,15,56,15,71,0,0.0,0.0,0.0,0.0,0,0,0.0,
영등포구,대림1동,2745,0,0,0,0,0,15,0,2,6,17,6,23,2,1.0,75.0,3.0,78.0,0,2,306.0,153.0
영등포구,대림2동,1345,0,0,0,0,0,18,0,1,7,19,7,26,1,1.0,13.0,5.0,18.0,0,1,33.0,33.0
영등포구,대림3동,6791,1,0,0,0,1,11,0,0,8,13,8,21,2,0.0,0.0,0.0,0.0,0,2,16.0,8.0
영등포구,도림동,1243,0,0,0,0,0,7,0,0,7,7,7,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
영등포구,문래동,2655,0,0,0,0,3,31,0,0,10,34,10,44,3,1.0,0.0,1.0,1.0,0,3,22.0,7.333333333333333
영등포구,신길1동,2365,1,0,0,0,0,7,0,1,3,9,3,12,2,1.0,24.0,0.0,24.0,0,2,64.0,32.0
영등포구,신길3동,2572,0,0,0,0,0,24,1,0,8,24,9,33,1,0.0,0.0,0.0,0.0,1,0,3.0,3.0
영등포구,신길4동,683,0,0,0,0,0,6,0,0,4,6,4,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
영등포구,신길5동,972,0,0,0,0,0,2,0,0,2,2,2,4,0,0.0,0.0,0.0,0.0,0,0,0.0,
