목적구,행정동,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
성북구,보문동,52,0,0,0,0,2,7,0,0,5,9,5,14
성북구,삼선동,84,0,0,0,0,0,30,0,0,12,30,12,42
성북구,석관동,271,0,0,1,0,0,21,0,0,10,21,11,32
성북구,성북동,83,0,0,0,0,0,14,0,0,4,14,4,18
성북구,안암동,1221,1,0,0,1,0,5,0,0,2,7,2,9
성북구,월곡1동,76,0,0,0,0,0,9,0,0,8,9,8,17
성북구,월곡2동,364,0,1,0,0,0,18,0,0,7,18,8,26
성북구,장위1동,4,0,0,0,0,0,6,0,0,3,6,3,9
성북구,장위2동,17,0,0,0,0,1,11,0,0,4,12,4,16
성북구,장위3동,243,0,0,0,0,0,6,0,0,3,6,3,9
성북구,정릉1동,14,0,0,0,0,1,7,0,0,3,8,3,11
성북구,정릉2동,23,0,0,1,0,1,15,0,0,6,16,7,23
성북구,정릉3동,10,0,0,0,0,1,2,0,0,1,3,1,4
성북구,정릉4동,18,0,0,0,0,0,12,0,0,5,12,5,17
성북구,종암동,152,1,0,0,0,1,26,0,0,11,28,11,39
송파구,가락1동,7,0,0,0,0,0,18,0,0,7,18,7,25
송파구,가락2동,18,0,0,0,0,0,39,0,0,12,39,12,51
송파구,가락본동,625,8,0,0,0,2,28,0,1,16,39,16,55
송파구,거여1동,36,0,0,1,0,1,7,0,0,3,8,4,12
송파구,거여2동,358,0,0,0,0,0,36,1,0,7,36,8,44
송파구,마천1동,21,0,0,0,0,0,8,0,0,4,8,4,12
송파구,마천2동,167,0,0,0,0,2,16,0,0,11,18,11,29
송파구,문정1동,64,0,0,0,0,0,12,0,0,3,12,3,15
송파구,문정2동,168,2,0,0,0,0,67,0,0,19,69,19,88
송파구,방이1동,7,0,0,0,0,1,16,0,0,10,17,10,27
송파구,방이2동,16,0,0,0,0,0,37,0,0,15,37,15,52
송파구,삼전동,139,3,0,0,0,0,23,0,0,9,26,9,35
송파구,석촌동,255,1,0,0,0,0,46,0,0,25,47,25,72
송파구,송파1동,114,3,0,0,0,0,22,0,0,12,25,12,37
송파구,송파2동,7,0,0,0,0,0,18,0,0,7,18,7,25
송파구,오금동,298,0,0,0,0,1,15,0,0,8,16,8,24
송파구,오륜동,25,0,0,0,0,0,8,0,0,3,8,3,11
송파구,잠실2동,116,0,0,0,0,0,32,0,0,12,32,12,44
송파구,잠실3동,83,0,0,0,0,0,27,0,0,10,27,10,37
송파구,잠실4동,2,0,0,0,0,0,34,0,0,8,34,8,42
송파구,잠실6동,93,1,1,0,0,0,60,0,0,15,61,16,77
송파구,잠실7동,19,0,0,0,0,0,2,0,0,1,2,1,3
송파구,잠실본동,60,2,0,0,0,0,77,0,0,31,79,31,110
송파구,장지동,48,0,0,0,0,0,15,0,0,8,15,8,23
송파구,풍납1동,2,1,0,0,0,0,5,0,0,5,6,5,11
송파구,풍납2동,2111,0,0,0,1,0,10,0,0,6,11,6,17
양천구,목1동,285,1,0,0,0,0,66,0,0,27,67,27,94
양천구,목2동,17,1,0,0,0,0,11,0,0,6,12,6,18
양천구,목3동,41,0,0,0,0,0,30,0,0,13,30,13,43
양천구,목4동,169,0,0,0,0,0,19,0,0,12,19,12,31
양천구,목5동,878,0,0,0,1,0,22,0,0,10,23,10,33
양천구,신월1동,129,0,0,0,0,0,9,0,0,5,9,5,14
양천구,신월2동,25,0,0,0,0,0,11,0,0,4,11,4,15
양천구,신월3동,66,0,0,0,0,1,7,0,0,2,8,2,10
양천구,신월4동,22,0,0,0,0,0,11,0,0,2,11,2,13
양천구,신월5동,48,1,0,0,0,0,3,0,0,3,4,3,7
양천구,신월6동,265,0,0,0,0,0,14,0,0,3,14,3,17
양천구,신월7동,16,0,0,0,0,0,10,0,0,5,10,5,15
양천구,신정1동,19,0,0,0,0,0,20,0,0,9,20,9,29
양천구,신정2동,27,0,0,0,0,0,18,0,0,9,18,9,27
양천구,신정3동,1346,0,0,0,0,1,27,0,1,10,29,10,39
양천구,신정4동,288,1,0,0,0,0,39,0,1,23,41,23,64
양천구,신정6동,1257,0,1,0,0,0,3,0,0,2,3,3,6
양천구,신정7동,6,0,0,0,0,0,15,0,0,9,15,9,24
영등포구,당산1동,126,1,1,0,0,0,18,0,0,8,19,9,28
영등포구,당산2동,67,0,0,0,0,0,56,0,0,15,56,15,71
영등포구,대림1동,1367,0,0,0,0,0,15,0,2,6,17,6,23
영등포구,대림2동,274,0,0,0,0,0,18,0,1,7,19,7,26
영등포구,대림3동,1712,1,0,0,0,1,11,0,0,8,13,8,21
영등포구,도림동,138,0,0,0,0,0,7,0,0,7,7,7,14
영등포구,문래동,274,0,0,0,0,3,31,0,0,10,34,10,44
영등포구,신길1동,188,1,0,0,0,0,7,0,1,3,9,3,12
영등포구,신길3동,167,0,0,0,0,0,24,1,0,8,24,9,33
영등포구,신길4동,4,0,0,0,0,0,6,0,0,4,6,4,10
영등포구,신길5동,33,0,0,0,0,0,2,0,0,2,2,2,4
영등포구,신길6동,394,1,0,0,0,0,29,0,0,8,30,8,38
영등포구,신길7동,112,0,0,0,0,1,6,0,0,3,7,3,10
영등포구,양평1동,28,1,0,0,0,0,6,0,0,6,7,6,13
영등포구,양평2동,201,0,0,0,0,2,8,0,0,7,10,7,17
영등포구,여의동,936,0,0,0,0,0,117,0,1,30,118,30,148
영등포구,영등포동,1259,4,0,0,0,2,65,0,2,19,73,19,92
영등포구,영등포본동,12,0,0,0,0,0,13,0,0,5,13,5,18
용산구,남영동,52,0,0,0,0,0,22,0,0,4,22,4,26
용산구,보광동,1,0,0,0,0,0,5,0,0,2,5,2,7
용산구,서빙고동,10,0,0,0,0,0,0,0,0,0,0,0,0
용산구,용문동,3,0,0,0,0,0,2,0,0,6,2,6,8
용산구,원효로1동,37,0,0,0,0,0,12,0,0,2,12,2,14
