사용월,노선명,역명,역명정규화,station_key,운행엘리베이터보유여부,운행엘리베이터수,엘리베이터연결층,엘리베이터설치위치,운행휠체어리프트보유여부,운행휠체어리프트수,휠체어리프트운행구간,휠체어리프트설치위치,안전발판보유여부,안전발판수,휠체어접근가능화장실보유여부,장애인화장실설치위치,장애인화장실층
2025-12,7호선,노원,노원,7호선|노원,1,4,"4 | 지하B1→지상1 | 5번 출입구; 1 | 지하B3→지하B1 | 마들 방면4-4, 중계 방면4-3; 3 | 지하B1→지상1 | 6번 출입구; 2 | 지하B1→지상1 | 3번 출입구","5번 출입구; 마들 방면4-4, 중계 방면4-3; 6번 출입구; 3번 출입구",0,0,없음,없음,1,1,1,"지하2층 대합실, (가)아이센터 앞",B2
2025-12,7호선,논현,논현,7호선|논현,1,3,1 | 지하B2→지하B3 | 학동 방면7-4; 2 | 지하B2→지하B3 | 반포 방면2-1; 3 | 지하B2→지상1 | 10번 출입구,학동 방면7-4; 반포 방면2-1; 10번 출입구,0,0,없음,없음,0,0,1,"대합실 B1층 7,8번 출입구 근처; 대합실 2층 메트로의원 상가 뒤편",B1; B2
2025-12,7호선,마들,마들,7호선|마들,1,4,"1 | 지하B1→지하B3 | 수락산 방면8-4, 노원 방면1-1; 2 | 지하B1→지상1 | 5번 출입구; 3 | 지하B1→지상1 | 4번 출입구; 4 | 지하B1→지상1 | 2번 출입구","수락산 방면8-4, 노원 방면1-1; 5번 출입구; 4번 출입구; 2번 출입구",1,1,1 | 지하B1→지하B2 | 화장실 측(B2),화장실 측(B2),1,1,0,대합실 B2 에스컬레이터 앞,B2
2025-12,7호선,면목,면목,7호선|면목,1,3,1 | 지하B1→지하B4 | 상봉 방면4-4; 2 | 지하B3→지하B4 | 사가정 방면5-2; 3 | 지하B1→지상1 | 3번 출입구,상봉 방면4-4; 사가정 방면5-2; 3번 출입구,0,0,없음,없음,1,1,1,B1층 아이센터 앞,B1
2025-12,7호선,반포,반포,7호선|반포,1,4,1 | 지하B2→지하B3 | 논현 방면5-1; 2 | 지하B2→지하B3 | 고속터미널(7) 방면4-4; 3 | 지하B2→지상1 | 6번 출입구; 4 | 지하B2→지상1 | 1번 출입구,논현 방면5-1; 고속터미널(7) 방면4-4; 6번 출입구; 1번 출입구,1,1,1 | 지하B1→지하B2 | 대합실(1~6번 출입구 방면),대합실(1~6번 출입구 방면),0,0,1,대합실 지하2층 계단 옆,B2
2025-12,7호선,수락산,수락산,7호선|수락산,1,3,2 | 지하B3→지하B2 | 도봉산 방면1-1; 3 | 지하B3→지하B2 | 마들 방면8-2; 1 | 지하B2→지상1 | 1번 출입구,도봉산 방면1-1; 마들 방면8-2; 1번 출입구,0,0,없음,없음,1,1,1,대합실 지하2층 고객안전실 앞,B2
2025-12,7호선,신대방삼거리,신대방삼거리,7호선|신대방삼거리,1,4,1 | 지하B2→지하B3 | 장승배기 방면4-4; 2 | 지하B2→지하B3 | 보라매 방면4-4; 3 | 지하B1→지하B2 | 고객안전실 측; 4 | 지하B1→지상1 | 3번 출입구,장승배기 방면4-4; 보라매 방면4-4; 고객안전실 측; 3번 출입구,0,0,없음,없음,0,0,1,대합실 2층,B2
2025-12,7호선,어린이대공원(세종대),어린이대공원(세종대),7호선|어린이대공원(세종대),1,4,1 | 지하B3→지하B1 | 군자 방면3-3; 2 | 지하B3→지하B1 | 건대입구 방면6-2; 3 | 지하B1→지상1 | 1번 출입구; 4 | 지하B1→지상1 | 5번 출입구,군자 방면3-3; 건대입구 방면6-2; 1번 출입구; 5번 출입구,0,0,없음,없음,1,1,1,B2층  아이센터 옆,B2
2025-12,7호선,온수(성공회대입구),온수(성공회대입구),7호선|온수(성공회대입구),1,3,1 | 지하B1→지하B2 | 천왕 방면4-4; 2 | 지하B1→지하B2 | 까치울 방면5-1; 3 | 지하B1→지상1 | 2번 출입구,천왕 방면4-4; 까치울 방면5-1; 2번 출입구,1,1,5 | 지상1→지하B1 | 6번 출입구,6번 출입구,0,0,1,대합실 1층 4번 출입구 방향,B1
2025-12,7호선,장암,장암,7호선|장암,0,0,없음,없음,0,0,없음,없음,0,0,1,1층개집표기 옆,1
2025-12,7호선,철산,철산,7호선|철산,1,4,1 | 지하B1→지하B2 | 가산디지털단지 방면5-1; 2 | 지하B1→지하B2 | 광명사거리 방면4-4; 3 | 지하B1→지상1 | 1번 출입구; 4 | 지하B1→지상1 | 4번 출입구,가산디지털단지 방면5-1; 광명사거리 방면4-4; 1번 출입구; 4번 출입구,0,0,없음,없음,1,1,1,대합실 1층 3번 출입구 방향,B1
2025-12,7호선,청담,청담,7호선|청담,1,4,3 | 지하B3→지하B4 | 장암 방면7-4; 지하B3→지하B4 | 석남 방면2-1; 1 | 지하B3→지상1 | 5번 출입구; 2 | 지하B3→지상1 | 10번 출입구,장암 방면7-4; 석남 방면2-1; 5번 출입구; 10번 출입구,0,0,없음,없음,0,0,1,B3 대합실 (나)아이센터 옆,B3
2025-12,7호선,하계,하계,7호선|하계,1,3,"4 | 지하B1→지상1 | 6번 출입구; 2 | 지하B3→지하B1 | 중계 방면4-4, 공릉 방면5-1; 3 | 지하B1→지상1 | 1번 출입구","6번 출입구; 중계 방면4-4, 공릉 방면5-1; 1번 출입구",0,0,없음,없음,1,1,1,지하1층 4번 출입구,B1
